Adam Turner,AA-Turner,
Barry Warsaw,warsaw,Admin
Bénédikt Tran,picnixz,
Benjamin Peterson,benjaminp,
Donald Stufft,dstufft,
Dustin Ingram,di,
Ee Durbin,ewdurbin,Admin
Emma Smith,emmatyping,
Glyph Lefkowitz,glyph,
Gregory P. Smith,gpshead,
Hugo van Kemenade,hugovk,Release Manager
Jacob Coffee,JacobCoffee,
Larry Hastings,larryhastings,
Łukasz Langa,ambv,Release Manager
Ned Deily,ned-deily,"Admin, Release Manager"
Pablo Galindo Salgado,pablogsal,Release Manager
Paul McMillan,paulmcmillan,
Petr Viktorin,encukou,
Pradyun Gedam,pradyunsg,
Savannah Ostrowski,savannahostrowski,Release Manager
Serhiy Storchaka,serhiy-storchaka,
Seth Larson,sethmlarson,Admin
Stan Ulbrych,StanFromIreland,
Steve Dower,zooba,Release Manager
Thomas Wouters,Yhg1s,Release Manager
Tim Peters,tim-one,
William Woodruff,woodruffw,
